date,new_cases,new_deaths,total_cases,total_deaths,stringency_index,containment_health_index,new_cases_ma,new_deaths_ma,negative_news_intensity
2021-06-18,13220,336,33158781,597669,58.9,63.76,12153.857142857143,285.14285714285717,0.30843605610192054
2021-06-19,13484,279,33172265,597948,58.89,63.75,11805.285714285714,270.42857142857144,0.3086643473944621
2021-06-20,11961,272,33184226,598220,58.89,63.75,11518.142857142857,251.71428571428572,0.3070588539292316
2021-06-21,12350,251,33196576,598471,58.89,63.75,11518.142857142857,257.85714285714283,0.3074689241577113
2021-06-22,9047,223,33205623,598694,58.88,63.74,11564.714285714286,268.0,0.3039370382988805
2021-06-23,8568,266,33214191,598960,58.87,63.74,11606.57142857143,277.57142857142856,0.30338208491337465
2021-06-24,13288,308,33227479,599268,58.86,63.73,11702.57142857143,276.42857142857144,0.30830773594397726
2021-06-25,13841,326,33241320,599594,58.86,63.73,11791.285714285714,275.0,0.30889068925078783
2021-06-26,15572,315,33256892,599909,58.85,63.73,12089.57142857143,280.14285714285717,0.3106654407623005
2021-06-27,14971,412,33271863,600321,58.85,63.72,12519.57142857143,300.14285714285717,0.3100318875301249
2021-06-28,13294,242,33285157,600563,58.84,63.72,12654.42857142857,298.85714285714283,0.3082140741430372
2021-06-29,10676,173,33295833,600736,58.84,63.72,12887.142857142857,291.7142857142857,0.30545426988041513
2021-06-30,10438,183,33306271,600919,58.83,63.71,13154.285714285714,279.85714285714283,0.3051533702868466
2021-07-01,15514,282,33321785,601201,58.83,63.71,13472.285714285714,276.14285714285717,0.310504312394207
2021-07-02,11639,244,33333424,601445,58.82,63.71,13157.714285714286,264.42857142857144,0.30636941428911957
2021-07-03,18586,289,33352010,601734,58.82,63.7,13588.285714285714,260.7142857142857,0.31369269932060745
2021-07-04,16890,304,33368900,602038,58.82,63.7,13862.42857142857,245.28571428571428,0.31190483529104024
2021-07-05,13189,152,33382089,602190,58.81,63.7,13847.42857142857,232.42857142857142,0.30795339171772373
2021-07-06,10459,125,33392548,602315,58.81,63.7,13816.42857142857,225.57142857142858,0.3050755209625831
2021-07-07,9147,103,33401695,602418,58.8,63.69,13632.0,214.14285714285714,0.3036424480389702
2021-07-08,19962,301,33421657,602719,46.76,55.96,14267.42857142857,216.85714285714286,0.25484323795306696
2021-07-09,22636,250,33444293,602969,46.76,55.95,15838.42857142857,217.71428571428572,0.2576620754619483
2021-07-10,183538,262,33627831,603231,46.75,55.95,39403.0,213.85714285714286,0.4272293568806626
2021-07-11,27579,316,33655410,603547,46.75,55.95,40930.0,215.57142857142858,0.2628228202136375
2021-07-12,20875,149,33676285,603696,46.75,55.95,42028.0,215.14285714285714,0.25575569730431047
2021-07-13,16722,119,33693007,603815,46.74,55.94,42922.71428571428,214.28571428571428,0.2513277561993113
2021-07-14,28892,295,33721899,604110,46.74,55.94,45743.42857142857,241.71428571428572,0.26415694560959024
2021-07-15,34978,337,33756877,604447,46.73,55.94,47888.57142857143,246.85714285714286,0.27052258618287495
2021-07-16,38299,342,33795176,604789,46.73,55.93,50126.142857142855,260.0,0.2740234685190735
2021-07-17,40555,319,33835731,605108,46.72,55.93,29700.0,268.14285714285717,0.27635167161542834
2021-07-18,42258,370,33877989,605478,46.72,55.93,31797.0,275.85714285714283,0.27814691480077797
2021-07-19,32139,183,33910128,605661,46.72,55.93,33406.142857142855,280.7142857142857,0.2674798180347457
2021-07-20,27993,146,33938121,605807,46.71,55.93,35016.28571428572,284.57142857142856,0.26305924118436774
2021-07-21,45195,284,33983316,606091,46.71,55.92,37345.28571428572,283.0,0.2811929894370891
2021-07-22,51040,320,34034356,606411,46.7,55.92,39639.857142857145,280.57142857142856,0.28730459111959766
2021-07-23,61313,399,34095669,606810,46.7,55.92,42927.57142857143,288.7142857142857,0.298134029312843
2021-07-24,71708,338,34167377,607148,46.7,55.91,47378.0,291.42857142857144,0.30909207564972463
2021-07-25,69639,414,34237016,607562,46.7,55.91,51289.57142857143,297.7142857142857,0.30691100803346605
2021-07-26,53795,254,34290811,607816,46.69,54.99,54383.28571428572,307.85714285714283,0.29015880770556607
2021-07-27,43206,249,34334017,608065,46.69,54.99,56556.57142857143,322.57142857142856,0.2789962533370004
2021-07-28,71245,411,34405262,608476,46.68,54.99,60278.0,340.7142857142857,0.3085039955102018
2021-07-29,85805,499,34491067,608975,46.68,54.98,65244.42857142857,366.2857142857143,0.3238526395376185
2021-07-30,89149,494,34580216,609469,46.67,54.98,69221.0,379.85714285714283,0.32732775937442127
2021-07-31,99367,495,34679583,609964,46.67,54.97,73172.28571428571,402.2857142857143,0.3380992184865191
2021-08-01,104519,525,34784102,610489,46.67,54.97,78155.14285714286,418.14285714285717,0.3435302771423743
2021-08-02,80567,395,34864669,610884,46.67,54.97,81979.71428571429,438.2857142857143,0.3182809143851843
2021-08-03,61188,370,34925857,611254,46.66,54.96,84548.57142857143,455.57142857142856,0.29780225528832754
2021-08-04,102409,656,35028266,611910,46.66,54.96,89000.57142857143,490.57142857142856,0.3412559953607276
2021-08-05,110283,700,35138549,612610,46.65,54.96,92497.42857142857,519.2857142857143,0.3495064980550238
2021-08-06,126833,741,35265382,613351,46.65,54.95,97880.85714285714,554.5714285714286,0.3669529306548691
2021-08-07,127854,753,35393236,614104,46.64,54.95,101950.42857142857,591.4285714285714,0.3679792249370229
2021-08-08,133922,838,35527158,614942,46.64,54.95,106150.85714285714,636.1428571428571,0.37437589883526223
2021-08-09,120252,648,35647410,615590,46.64,54.94,111820.14285714286,672.2857142857143,0.3599654617573236
2021-08-10,96790,527,35744200,616117,49.41,56.72,116906.14285714286,694.7142857142857,0.34908264338581374
2021-08-11,93050,720,35837250,616837,49.4,56.72,115569.14285714286,703.8571428571429,0.34509007247197687
2021-08-12,135427,961,35972677,617798,49.4,56.71,119161.14285714286,741.1428571428571,0.3897624274135867
2021-08-13,143479,612,36116156,618410,52.03,58.4,121539.14285714286,722.7142857142857,0.4114005416239306
2021-08-14,151161,973,36267317,619383,52.02,58.4,124868.71428571429,754.1428571428571,0.41944865951792754
2021-08-15,146305,1196,36413622,620579,52.01,58.39,126637.71428571429,805.2857142857143,0.41427962543819075
2021-08-16,139848,904,36553470,621483,53.75,59.5,129437.14285714286,841.8571428571429,0.4161728944721772
2021-08-17,110712,679,36664182,622162,53.73,59.49,131426.0,863.5714285714286,0.38535872318162223
2021-08-18,108955,845,36773137,623007,53.71,59.48,133698.14285714287,881.4285714285714,0.3834065682886262
2021-08-19,150448,1193,36923585,624200,53.7,59.47,135844.0,914.5714285714286,0.427097032974462
2021-08-20,168162,1497,37091747,625697,53.67,59.45,139370.14285714287,1041.0,0.44562051867583385
